uuid,nr_proj,pdf_name,station_name,station_code,connection_line,connection_type,grid_operator,voltage_kv,connection_line_type,cable_length_km,municipality,terna_approval,comment
b47196a2-2bce-48fa-95a2-a94b806e3598,8274,8274_DOC13.pdf,,,,,terna,,MT,1.8,alessandria  valutazione di impatto ambientale  piano di cantierizzazione e ricadute occupazionali    pag,,
49d9a68e-8ee3-4ef6-9ca3-5b557d506261,8274,8274_parere_n_250_plenaria_del_21-12-23_id_vip_7693.pdf,,,,,rtn,150,MT/BT,0.011,alessandria,True,
6427ca89-1a11-4877-8517-8fd4084989e6,8274,8274_DOC17-RELAZIONE-CALCOLO-IMPIANTI-ELETTRICI-E-VALUTAZIONE-PRODUZIONE-IMPIANTO.pdf,,,,,,18/30,MT/BT,,alessandria  valutazione di impatto ambientale   relazione calcolo imp,,
5f8ca0dc-c42a-4085-ba65-8c00fee998b3,8375,8375_48405B-signed.pdf,stazione elettrica di trasformazione rtn 380/,,ferrara focomorto - ravenna canala,entra-esce,rtn,380/132/36,MT,,portomaggiore,,
b68564e8-71dd-4753-b927-c0b873fd3c0f,8375,8375_REL06_00_Relazione_impianti_elettrici_e_linea_elettrica_signed-signed.pdf,stazione elettrica e su di esso saranno collo,,"rtn a 132 kv ""portomaggiore - bando""",,rete di trasmissione nazionale,132/30,MT/BT,,portomaggiore,True,
b3ae56fe-d875-49be-b757-f351b3bb12b4,8375,8375_48441A-signed_signed.pdf,stazione elettrica di trasformazione rtn 380/,,sull'esistente elettrodotto ferrara focomorto - ravenna canala e ,entra esci,rtn,380/132/36,AAT/AT,0.2,portomaggiore,True,
df9d0119-0151-4015-b597-74447c7aa11c,8375,8375_48441A_egDante-signed.pdf,stazione elettrica di trasformazione rtn 380/,,sull'esistente elettrodotto ferrara focomorto - ravenna canala e ,entra esci,rtn,380/132/36,AAT/AT,0.2,portomaggiore,True,
67d6eeae-168c-4f3c-b5b2-e8a871f208e0,8375,8375_48401A-signed_signed.pdf,stazione elettrica di trasformazione 380/132/,,,entra esci,rtn,380/132/36,MT,0.001,portomaggiore,True,
0e1f9d34-cc97-464e-a3b3-d5093543cc76,8375,8375_FBA-PV-CV-DRW-47.pdf,"stazione elettrica di terna, recentemente rea",,,,rtn,380/132/36,MT,2.03,portomaggiore,,
4c0bd4fa-be8e-4f48-9d07-a5664bd2a788,8375,8375_FBA-PV-FF-STD-23.pdf,stazione elettrica (se) di trasformazione del,,,in antenna,rtn,380/132/36,BT/MT,0.004,portomaggiore
